;DEPO 1M;DEPO 3M;DEPO 6M;DEPO 12M;IRS 2Y;IRS 3Y;IRS 4Y;IRS 5Y;IRS 7Y;IRS 10Y
02/01/1995;6;6.5;7;7.75;8.17;8.24;8.25;8.22;8.24;8.25
03/01/1995;5.938;6.5;7;7.813;8.22;8.28;8.29;8.29;8.3;8.31
04/01/1995;5.938;6.5;7;7.813;8.13;8.2;8.23;8.24;8.26;8.28
05/01/1995;5.898;6.438;6.938;7.688;8.145;8.22;8.26;8.27;8.29;8.3
06/01/1995;5.875;6.438;6.938;7.688;8.07;8.2;8.25;8.27;8.29;8.29
09/01/1995;5.875;6.375;6.875;7.688;8.135;8.25;8.29;8.31;8.33;8.34
10/01/1995;5.875;6.375;6.875;7.688;8.09;8.21;8.25;8.25;8.26;8.27
11/01/1995;5.875;6.336;6.875;7.625;8.07;8.2;8.23;8.24;8.25;8.27
12/01/1995;5.813;6.25;6.758;7.563;8.02;8.15;8.19;8.22;8.24;8.26
13/01/1995;5.813;6.25;6.75;7.523;7.8;7.96;8.03;8.05;8.08;8.13
16/01/1995;5.75;6.188;6.625;7.313;7.79;7.96;8.04;8.07;8.08;8.13
17/01/1995;5.75;6.188;6.625;7.313;7.88;8.04;8.11;8.13;8.15;8.18
18/01/1995;5.875;6.313;6.75;7.438;7.93;8.06;8.11;8.14;8.16;8.18
19/01/1995;6;6.375;6.813;7.5;7.94;8.08;8.13;8.16;8.16;8.19
20/01/1995;6;6.313;6.75;7.453;7.94;8.08;8.14;8.2;8.23;8.26
23/01/1995;6;6.313;6.75;7.438;7.975;8.13;8.19;8.22;8.26;8.32
24/01/1995;6;6.313;6.75;7.438;7.98;8.14;8.2;8.24;8.28;8.33
25/01/1995;6.063;6.375;6.813;7.5;7.92;8.08;8.16;8.22;8.26;8.31
26/01/1995;6;6.313;6.75;7.414;7.81;7.99;8.08;8.14;8.18;8.25
27/01/1995;6;6.313;6.688;7.313;7.66;7.84;7.93;8.01;8.06;8.12
30/01/1995;6.063;6.313;6.688;7.25;7.63;7.78;7.88;7.95;8.01;8.1
31/01/1995;6.094;6.313;6.688;7.25;7.63;7.79;7.88;7.94;8;8.06
01/02/1995;6.125;6.313;6.656;7.25;7.59;7.75;7.83;7.88;7.95;8.02
02/02/1995;6.125;6.313;6.688;7.32;7.8;7.93;7.99;8.02;8.07;8.12
03/02/1995;6.125;6.313;6.688;7.313;7.5;7.65;7.74;7.81;7.87;7.94
06/02/1995;6.109;6.25;6.563;7.125;7.54;7.69;7.77;7.82;7.88;7.95
07/02/1995;6.125;6.25;6.563;7.125;7.51;7.66;7.75;7.81;7.87;7.94
08/02/1995;6.125;6.25;6.563;7.125;7.51;7.67;7.76;7.8;7.87;7.95
09/02/1995;6.125;6.25;6.563;7.125;7.53;7.7;7.79;7.83;7.91;7.99
10/02/1995;6.094;6.25;6.563;7.133;7.69;7.83;7.9;7.95;8;8.07
13/02/1995;6.125;6.313;6.625;7.25;7.68;7.82;7.89;7.94;7.98;8.05
14/02/1995;6.125;6.313;6.625;7.25;7.56;7.7;7.77;7.82;7.88;7.95
15/02/1995;6.125;6.25;6.563;7.188;7.42;7.55;7.63;7.71;7.77;7.84
16/02/1995;6.125;6.25;6.563;7.063;7.36;7.51;7.59;7.65;7.72;7.82
17/02/1995;6.125;6.25;6.5;7;7.38;7.53;7.62;7.69;7.76;7.85
20/02/1995;6.125;6.25;6.5;7;7.41;7.56;7.63;7.68;7.74;7.84
21/02/1995;6.125;6.25;6.5;7;7.39;7.54;7.62;7.68;7.75;7.85
22/02/1995;6.117;6.25;6.5;7;7.25;7.41;7.5;7.6;7.7;7.83
23/02/1995;6.063;6.188;6.375;6.75;7.04;7.21;7.32;7.4;7.52;7.65
24/02/1995;6.086;6.234;6.438;6.813;7.18;7.34;7.44;7.5;7.62;7.74
27/02/1995;6.125;6.25;6.438;6.75;7.07;7.22;7.3;7.38;7.5;7.66
28/02/1995;6.125;6.25;6.438;6.75;7.13;7.28;7.37;7.44;7.55;7.7
01/03/1995;6.125;6.25;6.438;6.75;7.03;7.17;7.25;7.33;7.45;7.59
02/03/1995;6.125;6.25;6.438;6.813;7.14;7.27;7.36;7.45;7.57;7.69
03/03/1995;6.125;6.25;6.484;6.867;7.21;7.35;7.44;7.51;7.64;7.79
06/03/1995;6.125;6.313;6.5;6.938;7.27;7.42;7.51;7.57;7.7;7.86
07/03/1995;6.125;6.313;6.5;6.938;7.27;7.4;7.48;7.56;7.69;7.86
08/03/1995;6.125;6.313;6.563;7;7.23;7.37;7.46;7.51;7.63;7.8
09/03/1995;6.125;6.313;6.5;6.914;7.13;7.26;7.35;7.42;7.54;7.71
10/03/1995;6.125;6.313;6.5;6.813;7.11;7.24;7.33;7.39;7.5;7.66
13/03/1995;6.125;6.313;6.5;6.813;7.02;7.14;7.23;7.3;7.43;7.61
14/03/1995;6.125;6.25;6.438;6.75;6.95;7.08;7.17;7.24;7.37;7.53
15/03/1995;6.125;6.25;6.438;6.75;6.98;7.11;7.19;7.25;7.38;7.53
16/03/1995;6.125;6.25;6.438;6.75;6.89;7.01;7.1;7.15;7.27;7.42
17/03/1995;6.125;6.25;6.438;6.75;6.96;7.09;7.19;7.26;7.38;7.53
20/03/1995;6.125;6.25;6.438;6.75;6.96;7.09;7.19;7.26;7.38;7.54
21/03/1995;6.125;6.25;6.438;6.75;6.95;7.08;7.18;7.26;7.38;7.54
22/03/1995;6.125;6.25;6.438;6.75;6.99;7.14;7.25;7.33;7.46;7.62
23/03/1995;6.125;6.25;6.438;6.75;6.98;7.12;7.24;7.3;7.42;7.59
24/03/1995;6.125;6.25;6.438;6.75;6.91;7.06;7.16;7.24;7.37;7.54
27/03/1995;6.125;6.25;6.438;6.688;6.87;7;7.11;7.2;7.33;7.48
28/03/1995;6.125;6.25;6.438;6.688;6.94;7.08;7.18;7.27;7.4;7.55
29/03/1995;6.125;6.305;6.5;6.75;6.93;7.07;7.17;7.24;7.37;7.53
30/03/1995;6.125;6.25;6.438;6.75;6.97;7.12;7.22;7.29;7.42;7.57
